"Date","Requests","Cumulative","PercentOfBase","RecommendedRemainingPerDay","AlertLevel","AlertMessage"
"2026-01-21","0","0","0","10","OK","Usage below thresholds - normal operations."
"2026-01-22","43","43","14.33","8.86","OK","Usage below thresholds - normal operations."
"2026-01-23","18","61","20.33","8.54","OK","Usage below thresholds - normal operations."
"2026-01-24","0","61","20.33","8.85","OK","Usage below thresholds - normal operations."
"2026-01-25","0","61","20.33","9.19","OK","Usage below thresholds - normal operations."
"2026-01-26","47.79999999999998","108.8","36.27","7.65","OK","Usage below thresholds - normal operations."
"2026-01-27","48.2","157","52.33","5.96","OK","Usage below thresholds - normal operations."
"2026-01-28","30","187","62.33","4.91","OK","Usage below thresholds - normal operations."
"2026-01-29","53","240","80","2.73","WARNING","Usage >= 70% - slow down non-essential, prepare to split or defer jobs."
"2026-01-30","10","250","83.33","2.38","WARNING","Usage >= 70% - slow down non-essential, prepare to split or defer jobs."
"2026-01-31","28","278","92.67","1.1","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-01","0","278","92.67","1.16","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-02","0","278","92.67","1.22","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-03","0","278","92.67","1.29","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-04","0","278","92.67","1.38","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-05","0","278","92.67","1.47","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-06","0","278","92.67","1.57","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-07","0","278","92.67","1.69","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-08","0","278","92.67","1.83","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-09","0","278","92.67","2","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-10","0","278","92.67","2.2","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-11","0","278","92.67","2.44","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-12","0","278","92.67","2.75","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-13","0","278","92.67","3.14","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-14","0","278","92.67","3.67","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-15","0","278","92.67","4.4","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-16","0","278","92.67","5.5","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-17","0","278","92.67","7.33","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-18","0","278","92.67","11","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-19","0","278","92.67","22","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
"2026-02-20","0","278","92.67","22","CRITICAL","Usage >= 90% - stop non-essential requests and throttle."
